duration,protocol_type,service,flag,src_bytes,Anomaly
0,tcp,efs,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,REJ,0,Attack detected
0,tcp,remote_job,S0,0,Attack detected
0,tcp,http,SF,195,Normal
0,udp,private,SF,28,Attack detected
0,tcp,http,SF,243,Normal
0,tcp,http,SF,305,Normal
0,tcp,http,SF,217,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,ftp_data,SF,740,Normal
0,tcp,private,REJ,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,245,Normal
0,tcp,private,REJ,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,REJ,0,Attack detected
0,tcp,http,SF,246,Normal
0,tcp,http,SF,233,Normal
0,tcp,private,REJ,0,Attack detected
0,tcp,http,REJ,0,Normal
0,tcp,http,SF,219,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,234,Normal
0,tcp,ssh,S0,0,Attack detected
0,tcp,http,SF,233,Normal
0,tcp,smtp,SF,3056,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,176,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,pop_3,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,285,Normal
0,udp,private,SF,105,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,212,Normal
0,tcp,http,SF,242,Normal
0,tcp,http,SF,222,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,ftp_data,SF,37,Normal
0,tcp,http,SF,287,Normal
0,tcp,ftp_data,SF,3888,Normal
0,tcp,smtp,SF,883,Normal
0,tcp,private,REJ,0,Attack detected
0,tcp,http,REJ,0,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,311,Normal
0,tcp,http,REJ,0,Normal
0,tcp,ftp_data,SF,3676,Normal
0,tcp,http,SF,254,Normal
0,udp,domain_u,SF,44,Normal
0,tcp,http,SF,269,Normal
0,tcp,private,REJ,0,Attack detected
1,tcp,smtp,SF,832,Normal
0,tcp,rje,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
1,tcp,smtp,SF,1102,Normal
0,tcp,http,SF,146,Normal
0,tcp,private,S0,0,Attack detected
0,icmp,eco_i,SF,18,Normal
0,tcp,http,SF,225,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,REJ,0,Attack detected
0,tcp,http,SF,197,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,236,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,316,Normal
0,tcp,http,SF,239,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,other,REJ,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,icmp,ecr_i,SF,1032,Attack detected
0,tcp,discard,S0,0,Attack detected
0,tcp,http,SF,264,Normal
0,tcp,private,S0,0,Attack detected
0,udp,domain_u,SF,45,Normal
0,tcp,vmnet,REJ,0,Attack detected
0,tcp,http,SF,296,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,233,Normal
0,tcp,http,SF,329,Normal
0,tcp,http,SF,233,Normal
0,tcp,http,SF,325,Normal
0,tcp,http,REJ,0,Normal
0,tcp,http,SF,285,Normal
0,tcp,http,SF,198,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,finger,SF,7,Normal
0,tcp,http,SF,236,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,REJ,0,Attack detected
0,tcp,private,REJ,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,ftp_data,SF,19,Normal
0,tcp,http,SF,236,Normal
0,tcp,http,SF,159,Normal
0,tcp,http,SF,200,Normal
0,tcp,http,SF,277,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,smtp,SF,990,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,170,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,417,Normal
0,tcp,other,REJ,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,REJ,0,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,309,Normal
0,tcp,private,REJ,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,SF,207,Normal
0,tcp,private,S0,0,Attack detected
0,tcp,private,S0,0,Attack detected
0,tcp,http,REJ,0,Normal
2630,udp,other,SF,145,Normal
0,tcp,http,SF,313,Normal
0,tcp,iso_tsap,S0,0,Attack detected
